term,x,y,clean_term,responseGroup,tier,tier_label,response,response_tier
CW_mean_species_body_mass,31.3480047388827,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,13.2937805603871,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,15.7022648027272,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,27.3444877874355,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,14.0598171104906,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,20.5224974409084,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,101.133614220862,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,28.3515952898592,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,32.1171495689763,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,28.7034127203468,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,33.2217429885006,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,18.0888544201924,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,51.6238660053039,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,16.9527559210516,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,27.7590656059162,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,22.8254363248732,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,25.6064482973098,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,33.7415255811674,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,18.6619024215881,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,19.3484892953519,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,30.9137517594331,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,33.6812623583319,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,20.2073476888907,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,34.7285010268543,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,15.1910916724549,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,39.1889782602877,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,24.6142660587539,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,21.7222241646836,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,29.4803393213179,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,26.0791859851429,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,31.2700575553878,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,15.0791801577987,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,25.6137927513086,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,28.8503192002087,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,29.561769213326,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,29.5139719105359,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,24.0380136672588,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,25.7084588117979,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,24.9646035305751,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,29.5139120008096,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,32.6799931412863,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
CW_mean_species_body_mass,40.7427988347009,0.550705176227353,Mean body mass (kg; cwm),Herbivory,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
