NAME,WDPAID,WDPA_PID,PA_DEF,ORIG_NAME,DESIG_ENG,DESIG_TYPE,GIS_AREA,STATUS,VERIF,MAP,MAT,elevation_mean,Biome,fire_events_since_2001,n_deposition,prop_burned_area,woody_trend_venter2019,canopy_height_sd100,canopy_height_mean,tree_cover_sd100,tree_cover_mean,tree_cover_mean_scaled,sp1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5,spatial_predictor1
Kruger National Park,873,873,1,Kruger National Park,National Park,National,19171.6130057939,Designated,State Verified,551.802674879392,22.7207572363884,343.960246170142,Savanna,2.52804439112178,262.991798400879,0.499275144971006,0.390467573746381,3.40972656222429,2.93932763011752,10.2990203572299,11.4326502705762,-0.479871479088711,0.0162521014001837,0.0159953967303646,0.0160446125125311,0.0164036532701701,0.0158202790176833,0.0162521014001837
Kalahari Gemsbok National Park,874,874,1,Kalahari Gemsbok National Park,National Park,National,9589.55020962101,Designated,State Verified,203.818885058437,21.366614815438,972.126558108805,Savanna,0.397887323943662,185.660034179688,0.271175665101721,0.0808326687198248,0.0715602705523426,0.0178176118641317,0.270052819019418,0.0750065710767053,-0.93760928436398,-0.00479883007554904,-0.00451212823293273,-0.00423668359364965,-0.0040791393633946,-0.00407151963018204,-0.00479883007554904
Addo-Elephant National Park,875,875,1,Addo-Elephant National Park,National Park,National,1377.41624773986,Designated,State Verified,475.329588014981,18.0456661316212,330.6278090595,Albany Thicket,0.317736670293798,187.244827270508,0.0990206746463547,0.102606630371444,7.38341784863902,19.9010227647288,10.8180161882172,41.7693506632507,0.742763692821829,-0.0149912413575616,-0.014569655290179,-0.0139581631181193,-0.0150567393163817,-0.0167929097646363,-0.0149912413575616
Karoo National Park,876,876,1,Karoo National Park,National Park,National,822.317896624952,Designated,State Verified,290.396119929453,16.9358906525574,1065.56393706805,Nama-Karoo,0.078185080748526,156.441436767578,0.0581902076390669,0.20535946265566,0.925045359936101,0.962764855917026,5.875410776596,7.01762660719831,-0.657806559232318,-0.026623592650152,-0.0260444763250251,-0.0285701336899387,-0.0317357290325398,-0.0347060784477574,-0.026623592650152
Mountain Zebra National Park,877,877,1,Mountain Zebra National Park,National Park,National,202.472489346132,Designated,State Verified,469.858928571428,14.7964285714286,1277.13654469349,Grassland,0.233820459290188,217.168685913086,0.00835073068893528,0.618772113025939,0.805546853585969,0.512538660863787,3.18803710368004,2.20197560537939,-0.851887794642211,-0.0122299264821686,-0.011763135927454,-0.0124260036515405,-0.0128560729622383,-0.0147644246388477,-0.0122299264821686
Augrabies Falls National Park,878,878,1,Augrabies Falls National Park,National Park,National,493.537407102078,Designated,State Verified,122.591007751938,21.5962015503876,652.756555847743,Nama-Karoo,0,135.888359069824,0,0.128164311110575,0.580224092520814,0.425239765722386,2.61772676016836,2.02438821327316,-0.859044953755315,-0.0117415088549271,-0.0110250373999169,-0.0102713490700954,-0.00992829788440091,-0.0103996748351149,-0.0117415088549271
Golden Gate Highlands National Park,879,879,1,Golden Gate Highlands National Park,National Park,National,330.942441387319,Designated,State Verified,897.509216589861,12.3635944700461,1951.60393625359,Grassland,7.74024226110363,527.364074707031,0.909152086137281,0.529314039876571,0.850272567425907,0.52013174629736,3.47897848714206,2.33851427328474,-0.846384988616965,0.00899442588655052,0.00870572560589393,0.0085130728367433,0.00829775229320106,0.00951281842194826,0.00899442588655052
Garden Route National Park,881,881,1,Garden Route National Park,National Park,National,1257.88700275057,Designated,State Verified,851.444187779434,15.7228763040238,456.103445619441,Fynbos,0.75,133.22182337443,0.440343347639485,-0.466450460582893,10.8475359921469,41.172441582044,11.031731426343,43.3623072151375,0.806963315142404,-0.0295256249230433,-0.028218940320419,-0.0294461895628119,-0.0295864623971154,-0.0296069424911433,-0.0295256249230433
Bontebok National Park,882,882,1,Bontebok National Park,National Park,National,34.1373592260439,Designated,State Verified,521.966666666667,17.6125,91.6411914560063,Fynbos,0.796296296296296,94.8234405517578,0.240740740740741,0.0885906604106795,0.746459607154599,0.46631502761129,2.17329046178032,1.62905529874965,-0.874977732193772,-0.0519294146348283,-0.0532065451991182,-0.0567257951801603,-0.0552917456489429,-0.0551163100820822,-0.0519294146348283
Itala Nature Reserve,1350,1350,1,Itala Nature Reserve,Nature Reserve,National,290.608094671487,Designated,State Verified,774.151436031332,18.5742819843342,754.052870053437,Savanna,1.79756468797565,524.297241210938,0.488584474885845,0.84721758305423,9.96816260804735,13.6738856737475,19.5257443850004,37.4312165375473,0.56792742869631,0.0115640448709253,0.0110739584513611,0.0108917122477561,0.0114600564682289,0.0119183553788419,0.0115640448709253
