system:index,evi_absolute_trend_robust,evi_absolute_trend_sens,evi_absolute_trend_simple,evi_relative_trend_robust,evi_relative_trend_sens,evi_relative_trend_simple,rsrv_nm,source,.geo
0000000000000000001d,,,,,,,Farm_101,EWT,"{""type"":""Polygon"",""coordinates"":[[[26.839266802610496,-33.56169158864065],[26.840533189672552,-33.56229802966977],[26.842744877550697,-33.56234266218347],[26.844626673082708,-33.562293576202116],[26.846503958193058,-33.56267705266282],[26.848595234316964,-33.563702690707125],[26.849817076000953,-33.564304668914005],[26.850405614028226,-33.56486648192101],[26.851016530629302,-33.565125107556156],[26.85165863384875,-33.56527227498972],[26.852349809460257,-33.56533027366718],[26.853206001315456,-33.565611128383594],[26.85405769584005,-33.56590545787232],[26.854160247688114,-33.565990227338254],[26.854258305544754,-33.56615074989247],[26.854472307000737,-33.565990238563295],[26.854704194102027,-33.56582523780424],[26.855020836436644,-33.56557994103694],[26.855132285799947,-33.565446202834046],[26.855275012804032,-33.56529455267123],[26.855377564075717,-33.56520091585882],[26.855422143754485,-33.56511177101854],[26.85553359291127,-33.564942303659656],[26.85564953592479,-33.564826371109156],[26.8557476829854,-33.56477733287904],[26.85581455238582,-33.56476395204246],[26.855912609493465,-33.564772845216105],[26.85605982988884,-33.56481296959103],[26.85616238078886,-33.564888785579654],[26.856233654085162,-33.5649601731226],[26.856313915158715,-33.565035959896775],[26.85639417620251,-33.56509392186412],[26.856808872767804,-33.5651964975854],[26.857107716245796,-33.5652677923883],[26.85713000590822,-33.565272257249454],[26.85718348311316,-33.565276734547744],[26.857286033480964,-33.565294559243114],[26.8574108734337,-33.56526781148106],[26.857500121822305,-33.56521427250221],[26.857575888552336,-33.56516078909294],[26.85763385952004,-33.56512959867583],[26.857696234466392,-33.565022597181276],[26.857763193142407,-33.56485756702574],[26.85779887446869,-33.564790699059905],[26.857830061920343,-33.56473272226106],[26.85783895978036,-33.56467923254194],[26.85797269726875,-33.56449640451877],[26.858111018414778,-33.56427788758405],[26.85820458062133,-33.56415307318377],[26.858302726523643,-33.56407725662129],[26.858418668054203,-33.563881071788295],[26.858686232108997,-33.563791872350116],[26.85876649227323,-33.5637383696722],[26.858837764712156,-33.56368934042153],[26.85922576318928,-33.56351983568171],[26.859613671094124,-33.56335486638461],[26.859979378813385,-33.56322105970461],[26.8601933746141,-33.56317208211529],[26.860554587541383,-33.56315419159076],[26.860813161341653,-33.563105189656255],[26.861027246193732,-33.56306054666858],[26.861174373234142,-33.56302938722666],[26.86132150017449,-33.56296249941394],[26.86158016293392,-33.56284653405085],[26.86174068108566,-33.56277517444368],[26.862052819345408,-33.56266368369574],[26.862320378906016,-33.562583428673165],[26.862418433065873,-33.562512145917914],[26.86267709451349,-33.56236940220694],[26.862935755651737,-33.56223560986023],[26.863136357127598,-33.562137546232066],[26.863274585097212,-33.56207067282496],[26.863305861634647,-33.56203945030866],[26.86353324552078,-33.56195470382448],[26.86376512291336,-33.56187001742987],[26.863814194608743,-33.5618253736475],[26.8639747111023,-33.56173618702408],[26.86412183613759,-33.5616514718176],[26.8642154856192,-33.56160244635806],[26.864389393138193,-33.56153112761044],[26.86452312657704,-33.56147758064185],[26.864692629996902,-33.56137948306225],[26.864977981424214,-33.56121006760312],[26.865156382046454,-33.56112977729709],[26.86528121745729,-33.56112979867286],[26.86542834160342,-33.561169932113714],[26.865499701721312,-33.56120556425535],[26.865606741853977,-33.561325952610765],[26.86571378193363,-33.561441904279945],[26.86579403949007,-33.56149098650069],[26.865883194545816,-33.561557876160954],[26.86590548330401,-33.56158016367658],[26.866088286984052,-33.56162923855915],[26.866618902099894,-33.56174963884731],[26.86681509634956,-33.56177633665359],[26.86685526986383,-33.56174961224143],[26.866957815646014,-33.56170056809481],[26.86706934873336,-33.56165592231623],[26.867140618435897,-33.561633664914844],[26.867274440045897,-33.5615935610967],[26.86747953116376,-33.56153555655419],[26.867702506869005,-33.561468703764405],[26.86792988612994,-33.56139733720018],[26.868041418715503,-33.56136607847392],[26.868389227456277,-33.56126351459449],[26.86874143940631,-33.56115207937087],[26.868830683118745,-33.56110748494995],[26.868924330559825,-33.56108966815736],[26.869263150616856,-33.56101383626515],[26.86938357989903,-33.56100489880067],[26.869508412867653,-33.56097370299107],[26.86955298963378,-33.560969240024164],[26.869691303371745,-33.560937987052924],[26.869825033529292,-33.56089790152019],[26.869891898577016,-33.56087564060637],[26.870306659129643,-33.560768613481066],[26.870498356424672,-33.56071951247317],[26.87069454715098,-33.560666035171565],[26.87101116607358,-33.560590230653986],[26.871135998101384,-33.56057685710526],[26.87129650915562,-33.560554521526726],[26.871488295443584,-33.56051886491634],[26.871679991689565,-33.56050548899256],[26.87172456800741,-33.56049658901727],[26.871947539330122,-33.56046537637853],[26.872183901262762,-33.560394043175194],[26.872388987718576,-33.56032272210713],[26.872473736359254,-33.56031822819665],[26.872678822539704,-33.56029150577521],[26.872830435204285,-33.560269185299234],[26.874328761631265,-33.55655472150614],[26.87486825365826,-33.555225915948874],[26.8748950350031,-33.55515906097194],[26.876018680177,-33.55238546134449],[26.877485799853122,-33.5487736138222],[26.87775774388016,-33.54810026426205],[26.877164696963302,-33.548002218712746],[26.876424531861957,-33.54814037488541],[26.875791309435193,-33.5478505444954],[26.875068933923135,-33.5479798630506],[26.874449098217273,-33.54797987269502],[26.873481460752686,-33.54794419571041],[26.872790352672606,-33.54749830194218],[26.872362295934085,-33.54694980753545],[26.87108252434741,-33.54687848037316],[26.87024869155966,-33.546958741071116],[26.869820539909757,-33.547538462157476],[26.869205182766805,-33.546989995695974],[26.868456092948463,-33.54593316675787],[26.86750631342508,-33.54608925975719],[26.86676611520909,-33.546985500617474],[26.86682848752181,-33.547471522552335],[26.86614625567036,-33.546958752631305],[26.865160785888673,-33.54651283660705],[26.863849874937042,-33.546334488685936],[26.863350439680172,-33.54680715089449],[26.862636920222773,-33.54745818833259],[26.86136167470954,-33.547315463038544],[26.860755191225614,-33.54649504899418],[26.861428542375478,-33.54568343138709],[26.86184322929381,-33.54497445794669],[26.86179415715119,-33.54385522829852],[26.86153998843945,-33.5428920623525],[26.860599166153957,-33.54305699898385],[26.8593550958604,-33.5439087186677],[26.859069647137922,-33.544488428297505],[26.85969842474444,-33.54500124597227],[26.859306023153426,-33.54591974558558],[26.85844985541655,-33.54645484049053],[26.858200176637485,-33.546602055584124],[26.85741536731115,-33.546771471697596],[26.856964990449715,-33.545852873035166],[26.855676319650872,-33.54449728853841],[26.854298481390703,-33.544470586477935],[26.85397734405138,-33.54574140448423],[26.85355823798594,-33.54660646578941],[26.85290724233312,-33.54591082972092],[26.85299640269829,-33.544738079275966],[26.852546016647583,-33.54455086715316],[26.851560574815554,-33.54543816433182],[26.85148471610133,-33.54667785953748],[26.850780235446674,-33.547043463923245],[26.85077133729669,-33.54705235307956],[26.850066764442854,-33.54775243583847],[26.849134790530687,-33.548225112770325],[26.848238495513336,-33.54921504412758],[26.847012240723558,-33.54975013481034],[26.84723964171763,-33.550633062162674],[26.8483767329929,-33.551306419349174],[26.848113650275632,-33.55188159736782],[26.84644149014294,-33.55152933502332],[26.8450502905472,-33.55173893077321],[26.845661132352053,-33.552626276149724],[26.84804677849888,-33.55337538341059],[26.849232940542176,-33.55391942938292],[26.848867214678474,-33.55469973374587],[26.848617524855126,-33.554989629053665],[26.847529510228057,-33.55580562692611],[26.844359091669546,-33.55567632582318],[26.841447313582517,-33.5560776284236],[26.84055997526564,-33.55655473404467],[26.84054658246951,-33.55725480076214],[26.840252300284323,-33.55857916984928],[26.83981977485838,-33.55978758475683],[26.839596770452502,-33.56032264508306],[26.839266802610496,-33.56169158864065]]]}"
0000000000000000001e,,,,,,,Farm_102,EWT,"{""type"":""Polygon"",""coordinates"":[[[26.55193121832391,-33.331793721750095],[26.557291062814578,-33.33218167915355],[26.556238795728706,-33.32952848819691],[26.557041406314966,-33.32834683756547],[26.559172837692667,-33.325212150963566],[26.55876262666418,-33.325149653172566],[26.558231997181494,-33.324962372378174],[26.557808374697142,-33.32456550694072],[26.557442710555783,-33.32428014824409],[26.557036906375572,-33.32395022124457],[26.556925487847938,-33.323838723456994],[26.55685411876264,-33.323785175287234],[26.55662669152948,-33.32366036013065],[26.55640376402291,-33.32399478008874],[26.556399264071015,-33.32400368783536],[26.556390354166,-33.32401265279773],[26.556087147192205,-33.32436930902685],[26.555828489457284,-33.324529918474916],[26.5552309835757,-33.324587852561656],[26.554691435958816,-33.32469485239653],[26.55424557697159,-33.32477956034018],[26.55383085713668,-33.324886635357934],[26.553483006697743,-33.32500255128759],[26.55326007613948,-33.32506498938855],[26.553037145364872,-33.325140791349355],[26.553046055399985,-33.325863118970744],[26.553063875469167,-33.327468444159074],[26.553821947132008,-33.328079337797874],[26.552809714351714,-33.33006364405058],[26.55193121832391,-33.331793721750095]]]}"
0000000000000000001f,0.00883914483566453,0.006921139510327292,0.004651407797910019,-47.85711271846741,14.371573806431053,3.8968524177669854,Farm_104,EWT,"{""type"":""Polygon"",""coordinates"":[[[25.410539601085613,-32.571360940933765],[25.418695318411086,-32.58604474465392],[25.44042002670265,-32.571294082165224],[25.440428975139568,-32.571285136617476],[25.44082586968082,-32.571017591137895],[25.442083346662837,-32.57267640773855],[25.442725370120264,-32.57331406685423],[25.444558062388182,-32.57429508106584],[25.444183498468295,-32.57487473480837],[25.44562381345584,-32.57545441820958],[25.446595920421455,-32.57750113786167],[25.446529034502987,-32.578584719740284],[25.447318287376504,-32.58028806595447],[25.448156617683917,-32.58240164776504],[25.448990426331115,-32.582183229888415],[25.448263634556824,-32.577024016396145],[25.44833494898862,-32.573425541989224],[25.450827599007173,-32.57387589744336],[25.4508142220163,-32.573193610294034],[25.448352754997416,-32.566705639412916],[25.458653305867568,-32.56125217793468],[25.465538215918574,-32.5548489184179],[25.44034871036238,-32.55243206671466],[25.42241865970176,-32.55404627655323],[25.411605383828174,-32.55206193692347],[25.410539601085613,-32.571360940933765]]]}"
00000000000000000020,,,,,,,Farm_107,EWT,"{""type"":""Polygon"",""coordinates"":[[[25.996670643798648,-25.513272852741693],[25.998374004676688,-25.514864785194266],[25.999225726011396,-25.515618322707542],[26.00010856531894,-25.516345144483434],[26.00101828265282,-25.517036325211294],[26.014029911635046,-25.526159674230424],[26.014248376631027,-25.526315702763515],[26.01452935012524,-25.526507415372613],[26.015051067030235,-25.52573157608272],[26.016411097936782,-25.52599463640449],[26.017650706002847,-25.52686417996375],[26.018952725512253,-25.529570878323483],[26.020669468983304,-25.530779262901255],[26.021347305748794,-25.531251973332054],[26.022020630854136,-25.53172460921456],[26.02338513478491,-25.532683319040622],[26.025940132686024,-25.510811432725813],[26.01721820135597,-25.502125054105395],[26.009610961831168,-25.494544636616492],[26.008487224981476,-25.493425388336714],[26.004688059780875,-25.499810805956116],[26.00157565771007,-25.50503689670154],[26.001459654519987,-25.50523308549824],[26.00099591185346,-25.506008983371373],[25.996670643798648,-25.513272852741693]]]}"
00000000000000000021,,,,,,,Farm_108,EWT,"{""type"":""Polygon"",""coordinates"":[[[25.91819489530328,-32.61975560287164],[25.918408929013697,-32.62015245132795],[25.918672049475017,-32.620638452022426],[25.925797677459112,-32.6338106706559],[25.933948917225866,-32.64903403156005],[25.9339622709793,-32.649065229033425],[25.93407379283958,-32.64927480375337],[25.937846199364394,-32.656315763686216],[25.937979915337564,-32.65656547659423],[25.941426822512646,-32.663004407039985],[25.941542762245398,-32.663196161973296],[25.952387276152503,-32.6836188174006],[25.955415009095145,-32.68922833556057],[25.9711957505029,-32.685937585475685],[25.97495923104281,-32.67622114468904],[25.975075155879754,-32.67590460275883],[25.98663318878557,-32.64622923343744],[25.98671789581608,-32.646010790039675],[25.99059733989779,-32.63598222332247],[25.975993802000907,-32.63072049659613],[25.97069189808754,-32.61196997746195],[25.96220177060611,-32.60638715285908],[25.950630382818904,-32.605071744559964],[25.92301963488599,-32.60217333613027],[25.918600674917702,-32.618284083479885],[25.918364353710608,-32.619140230246636],[25.918257336859025,-32.619532607518806],[25.91819489530328,-32.61975560287164]]]}"
00000000000000000022,,,,,,,Farm_109,EWT,"{""type"":""Polygon"",""coordinates"":[[[25.828540187680208,-31.256055433382215],[25.829177901194893,-31.258039774561297],[25.833654760930607,-31.265678189745554],[25.84406232739031,-31.265887760501297],[25.847553780208216,-31.266556670141846],[25.848588309433993,-31.267243359026104],[25.852062013061616,-31.274195039525203],[25.85405070545853,-31.275381191341356],[25.853966045985587,-31.275679950702667],[25.853778766139428,-31.27621056057476],[25.8535111588063,-31.276687752849245],[25.85337740016705,-31.27691068021754],[25.85336846487095,-31.27715590004126],[25.855731795154856,-31.279376581144998],[25.855954724219593,-31.279550457321186],[25.8572211743891,-31.278859279647236],[25.859009284944335,-31.277829201583845],[25.861064893308008,-31.276500473667365],[25.861894316331213,-31.275720073810902],[25.862598827485886,-31.27496206311446],[25.863361368913196,-31.273900772355926],[25.86351741481898,-31.273677845176092],[25.86324097253021,-31.27346375631717],[25.864061453850635,-31.272277662058663],[25.864315603090994,-31.27212156165069],[25.86432002543004,-31.271969965363855],[25.864886354976814,-31.271488372120718],[25.865073627032462,-31.271510722446976],[25.8696040364132,-31.267809642683975],[25.879338316610127,-31.25973869032402],[25.879235706063305,-31.258646204725114],[25.885723737181912,-31.248849506813126],[25.88967452417274,-31.22296442214881],[25.867249673549075,-31.215981482125358],[25.864493940623582,-31.233318499545685],[25.855196764640763,-31.236310561327343],[25.843295398497524,-31.240078455959274],[25.84119515560627,-31.237434210550152],[25.829989460538176,-31.23920452536426],[25.82942314744755,-31.25610451597691],[25.828540187680208,-31.256055433382215]],[[25.88033265317269,-31.249335556249868],[25.879262509349804,-31.249072502433492],[25.878883472723878,-31.250200617007174],[25.879868966826926,-31.250544030623143],[25.88033265317269,-31.249335556249868]]]}"
00000000000000000023,,,,,,,Farm_11,EWT,"{""type"":""Polygon"",""coordinates"":[[[29.057575906653195,-24.91527621242485],[29.059011743568725,-24.91782683962776],[29.059216912757055,-24.918192433388743],[29.063983667340928,-24.9266781061345],[29.071809387209736,-24.9406083471352],[29.085708408280155,-24.935614137647562],[29.09112619454228,-24.933665523743635],[29.09679816678134,-24.931627747799478],[29.11030032381896,-24.926776254460933],[29.110420756897682,-24.926731598454737],[29.115798435665614,-24.924796370414935],[29.11631564834707,-24.924613555630195],[29.123922943570552,-24.921875689396142],[29.11972248096807,-24.913782416465242],[29.11328352153001,-24.901377153958823],[29.10988115915966,-24.902228826124166],[29.092236498681622,-24.906629961028525],[29.09137596708129,-24.90684843794541],[29.068576542617727,-24.912533810034862],[29.057575906653195,-24.91527621242485]]]}"
00000000000000000024,,,,,,,Farm_110,EWT,"{""type"":""Polygon"",""coordinates"":[[[26.889935559670693,-30.73471074583574],[26.89784155970776,-30.74292882415014],[26.918612035134867,-30.751387751281335],[26.93516419874954,-30.758187889373076],[26.9428695292484,-30.736949210368763],[26.946361022086645,-30.728365465651223],[26.919436964728295,-30.72106146153293],[26.91677491332165,-30.718274490069494],[26.91253876266649,-30.713971421793577],[26.905734149631865,-30.71276753037782],[26.905381908344083,-30.71453331860223],[26.899692053158834,-30.71843951858219],[26.89870664693725,-30.72008486443227],[26.889935559670693,-30.73471074583574]]]}"
00000000000000000025,-0.0038672662768601228,-0.002150489090275636,-0.003867266276860145,-1.7181866149225042,-1.1427724578108311,-1.7181866149225073,Farm_111,EWT,"{""type"":""Polygon"",""coordinates"":[[[25.91195219901386,-30.44509655691103],[25.926595858487552,-30.44783002950262],[25.945676318528363,-30.445832372250667],[25.964007664492357,-30.443892669618293],[25.968373172035808,-30.427964753961383],[25.973813241332856,-30.40812622415244],[25.958714718952166,-30.406882120151195],[25.947731974725205,-30.405976859634464],[25.941328747383487,-30.405450721913017],[25.927897882705302,-30.404300257810494],[25.917062282318234,-30.4034396660036],[25.919568335410922,-30.410636680345288],[25.918123520616657,-30.419006426929137],[25.915242980937716,-30.4311797009243],[25.917231741454167,-30.434969959690303],[25.916620857901783,-30.435264275575168],[25.91497543555778,-30.432316806523268],[25.91195219901386,-30.44509655691103]]]}"
00000000000000000026,,,,,,,Farm_113,EWT,"{""type"":""Polygon"",""coordinates"":[[[25.291998878511457,-30.591965968289276],[25.296284092768847,-30.61472081147291],[25.300069891445535,-30.616330486823443],[25.300801110229102,-30.616361716704574],[25.301799999660076,-30.61630377345822],[25.301055309178416,-30.6152246662655],[25.302856760734247,-30.61466278880916],[25.30417666702719,-30.61638400352131],[25.306000436127263,-30.61671850032685],[25.30671391682441,-30.616785342148145],[25.31090994550153,-30.61732047396952],[25.343492541051813,-30.620232252550423],[25.344518144764383,-30.6203258960652],[25.345410018437757,-30.62032586439728],[25.346417713185208,-30.620267914583042],[25.347322962894832,-30.620102911954444],[25.34823264029073,-30.620098420315017],[25.35250440761583,-30.619384979605574],[25.353008288827905,-30.619291399447427],[25.35272737040877,-30.618698346140206],[25.352401877225308,-30.61802944019489],[25.35129158118014,-30.616682779767313],[25.349753163447584,-30.614546920464175],[25.349592585278387,-30.613342910598206],[25.350239237387353,-30.612196929690423],[25.351790943658866,-30.610649671370147],[25.353217869892728,-30.6093118913697],[25.354528878439744,-30.60814362630618],[25.355010424016058,-30.607091266921962],[25.35442182802358,-30.60565542054864],[25.352883426183265,-30.60492415149094],[25.351287060422447,-30.605642044530818],[25.348972785297356,-30.604897369367585],[25.347577123109776,-30.604099204506642],[25.346069970719064,-30.603408029697018],[25.344081158258266,-30.60282391382814],[25.341726773006403,-30.602083697223346],[25.339903036417578,-30.601307837005706],[25.338484999063713,-30.600072653565984],[25.33786969737049,-30.599390413514918],[25.33646946319134,-30.5987126417012],[25.334966776711553,-30.59752647197286],[25.333811839699933,-30.595979196264704],[25.33316976407787,-30.59436503147856],[25.332768477429227,-30.592929136984075],[25.332665849956722,-30.59130604616874],[25.332741712911094,-30.58958038855563],[25.332763956395922,-30.58917906748442],[25.332777338654306,-30.588764327994134],[25.332795151524355,-30.587957287751447],[25.332853201580917,-30.587225965887097],[25.33281748542593,-30.58646348004453],[25.332755095170455,-30.585803547583588],[25.332639085429573,-30.585152515476633],[25.332523166065247,-30.58468427946004],[25.332282375544214,-30.584082325127994],[25.331930095865978,-30.582998735145313],[25.331296967966548,-30.5816253474295],[25.330369426889064,-30.580153847268566],[25.329624805936902,-30.57881163197699],[25.328612534463833,-30.576965624750915],[25.32712771285418,-30.574522002104395],[25.324447763810074,-30.571440764092127],[25.323569301810718,-30.572154195229597],[25.321972963058023,-30.572988076078325],[25.31989058475898,-30.573656948999993],[25.318173780724035,-30.574178681592684],[25.31652397233604,-30.575137357044103],[25.314869633752103,-30.57589983106534],[25.31231011607186,-30.576751511040563],[25.310281204981415,-30.577175118984915],[25.30852428751937,-30.577201921430532],[25.307119668668165,-30.577081493881323],[25.30540740490095,-30.576541970661054],[25.30420343404594,-30.57580175102313],[25.30333838792761,-30.575132926346143],[25.303280422697057,-30.575070437863577],[25.301260404442036,-30.576938835905096],[25.298874852302266,-30.579391345075607],[25.291998878511457,-30.591965968289276]]]}"
