species,mass_kg
Damaliscus pygargus,102
Tragelaphus scriptus,43.2504
Tragelaphus oryx,569.9936
Oryx gazella,169.0013
Giraffa camelopardalis,899.9948
Alcelaphus buselaphus,171.0015
Aepyceros melampus,52.5001
Tragelaphus strepsiceros,213.501
Tragelaphus angasii,86.6004
Kobus ellipsiprymnus,210.0003
Connochaetes taurinus,179.999
Equus quagga,175
Syncerus caffer,580.0027
Hippotragus niger,227.4993
Antidorcas marsupialis,31.5
Redunca fulvorufula,29.4999
Redunca arundinum,58.0003
Hippotragus equinus,269.9977
Damaliscus lunatus,136.0003
Hippopotamus amphibius,1417.49
Pelea capreolus,20
Connochaetes gnou,179.999
Loxodonta africana,4400
Equus zebra,240
