species,mass_kg
Damaliscus pygargus,102
Diceros bicornis,1180.5109
Connochaetes gnou,179.999
Connochaetes taurinus,179.999
Syncerus caffer,580.0027
Equus quagga,175
Bos primigenius,400
Equus africanus,275
Tragelaphus oryx,569.9936
Loxodonta africana,4400
Dama dama,56.25
Oryx gazella,169.0013
Giraffa camelopardalis,899.9948
Capra caucasica,55
Tragelaphus strepsiceros,213.501
Pelea capreolus,20
Hippopotamus amphibius,1417.49
Equus zebra,240
Aepyceros melampus,52.5001
Alcelaphus buselaphus,171.0015
Redunca fulvorufula,29.4999
Tragelaphus angasii,86.6004
Redunca arundinum,58.0003
Hippotragus equinus,269.9977
Hippotragus niger,227.4993
Antidorcas marsupialis,31.5
Damaliscus lunatus,136.0003
Phacochoerus africanus,82.5
Kobus ellipsiprymnus,210.0003
Ceratotherium simum,2949.9863
Papio ursinus,27.9391
Tragelaphus imberbis,81.5755
Potamochoerus larvatus,97.5
Sylvicapra grimmia,19.4998
Raphicerus melanotis,10.2499
Oreotragus oreotragus,12.9999
Hystrix africaeaustralis,14.936
Raphicerus campestris,10.5
