NAME,area_ha,CW_max_species_body_mass,CW_mean_species_body_mass,CW_median_species_body_mass,max_species_body_mass,mean_species_body_mass,median_species_body_mass,herbivore_fg_own,carnivore_fg_own,hempson_fg,trophic_groups,trophic_groups_hempson,carnivore_fg_own_simple,herbivore_fg_own_simple,total_biomass_ha,total_m_biomass_ha,m_herbi_biomass_ha,n_species_reserve,n_herbi_sp_reserve,elephant_biomass_ha,white_rhino_biomass_ha,white_rhino_yn,browser_biomass_ha,grazer_biomass_ha,mixed_feeder_biomass_ha,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,herbi_biomass_ha,prop_biomass_w_occasional_predator,prop_biomass_w_regular_predator,prop_species_w_occasional_predator,prop_species_w_regular_predator,herbi_fun_red,herbi_fun_div_distq1,herbi_fun_ent,predator_biomass_ha
Mokala National Park,25983.4777669471,445.531822362427,31.3480047388827,2.48376158845623,2949.9863,334.322744,169.0013,14,1,5,5,6,1,4,59.3871187125273,44.5403390343954,44.5402186547246,25,24,0,8.96911952242419,yes,9.98143399148498,25.5411549544076,23.864369260407,2.55886628877137,1.07026314736013,0.418256769435974,59.3869582062995,0.770316721542901,0.0660093118059447,0.875,0.333333333333333,0.18640350877193,3.48427224694992,19,0.000160506227742354
Addo-Elephant National Park,137741.624773986,2759.07299654439,139.037746785884,0.887861622597558,4400,362.298520833333,99.75,15,2,5,6,7,2,4,33.1840918132051,24.8880688599038,24.8724870074426,24,21,20.7954567451928,,,4.8461093253059,3.8656430928101,24.4515635918075,0.797679712387853,0.158093901778343,0.198192205873067,33.1633160099235,0.372937955330819,0.317891868099686,0.952380952380952,0.904761904761905,0.119047619047619,2.63126716006587,18,0.0207758032816559
Mountain Zebra National Park,20247.2489346132,88.2160999508301,13.2937805603871,0.947906876353757,1180.5109,172.473504166667,82.03775,14,3,5,6,7,2,4,37.3449651936353,28.0087238952265,27.935204500947,24,20,0,,,5.14425860206325,24.4768393721272,7.62584136040552,4.75808882592139,3.20972312631816,0.674582430834844,37.2469393345959,1,0.979650359576167,1,0.95,0.15,3.16913749803893,16,0.0980258590393982
Camdeboo National Park,18686.229412485,120.694833022577,15.7022648027272,0.706521785450087,580.0027,138.234157894737,81.5755,12,1,5,4,6,1,3,23.9134941114145,17.9351205835609,17.9348998339699,19,18,0,,,7.50016470451553,7.46902309819386,8.94401197591709,0.995847877006898,0.835086437529956,0.838568276150646,23.9131997786265,1,0.101121393995608,1,0.611111111111111,0.158730158730159,2.83430887853725,14,0.000294332787990136
Agulhas National Park,21032.3648239608,23.6128171552069,5.18604884530849,1.55251162340258,171.0015,62.929675,43.875,7,0,4,3,4,0,3,0.183811646115787,0.13785873458684,0.13785873458684,8,8,0,,,0.142125891454419,0.00813039814739183,0.0335553565139754,0.0572056088035114,0.24229807077167,4.23556493566759,0.183811646115787,,,0,0,0,2.02457113009492,8,
Bontebok National Park,3413.73592260439,63.723632286674,27.3444877874355,16.156420386261,240,108.55024,102,5,0,3,2,3,0,2,13.5765920536235,10.1824440402177,10.1824440402177,5,5,0,,,0.0228486332183812,5.97326564277511,7.58047777763005,261.427700540518,0.787980100726921,0.00301414157374189,13.5765920536235,,,0,0,0,2.31518355583322,5,
Golden Gate Highlands National Park,33094.2441387319,84.6177902088504,14.0598171104906,0.167247578042313,569.9936,128.969144444444,69.7879,11,0,4,3,4,0,3,68.8482464920049,65.2903719265998,65.2903719265998,18,18,0,,,0.808750713803901,27.1992452653276,40.8402505128733,33.6311854828516,0.6659911465713,0.0198027853318131,68.8482464920049,,,0,0,0.158730158730159,2.90715817720657,14,
Karoo National Park,82231.7896624952,180.490649829078,20.5224974409084,0.0701960450380086,1180.5109,166.204345,68.74985,13,3,5,6,7,2,4,11.3234482544004,8.49258619080028,8.47142505330538,20,17,0,,,1.89888505942632,4.06738389463201,5.32896445034884,2.14198530576718,0.763259716316133,0.356332844236185,11.2952334044072,1,0.960599952677422,1,0.941176470588235,0.0551470588235294,2.98866520623826,16,0.0282148499932039
Marakele National Park,58618.5433227892,1834.73556589861,101.133614220862,0.119954267301179,4400,403.119490909091,97.5,17,3,5,6,7,2,4,53.2103803101054,39.907785232579,39.8272326167626,33,28,22.1431636888762,16.0033939812233,yes,4.67713276309635,20.2752926336868,28.1505514255669,4.33498334570777,0.720244954607617,0.16614710995851,53.1029768223501,0.583014644113953,0.228337684801518,0.964285714285714,0.857142857142857,0.185064935064935,2.53849715029405,22,0.107403487755254
Kruger National Park,1917161.30057939,3017.09463411327,121.68551121119,0.0837968048832218,4400,466.3412,136.0003,17,2,5,5,6,1,4,105.99563604829,79.4967270362177,79.1510671543655,31,27,72.365533332053,4.02069152948709,yes,5.44152602439724,12.1518411973261,87.9413889840973,2.23316789129428,0.138181137888595,0.0618767350306605,105.534756205821,0.314296674065167,0.203684315322956,0.962962962962963,0.814814814814815,0.207407407407407,2.20687155385506,20,0.460879842469682
Vaalbos National Park,4580.01981161068,209.836327477598,28.3515952898592,2.81774163331524,580.0027,150.376509090909,82.5,8,1,5,4,6,1,3,23.811514684616,17.858636013462,17.8518066052309,11,10,0,,,7.475624387738,7.70625760406649,8.62052681517006,1.03085136496515,0.89394276815024,0.867188809688834,23.8024088069746,1,0.281161758680822,1,0.4,0.0888888888888889,3.00545765668291,9,0.00910587764146229
Kalahari Gemsbok National Park,958955.020962101,112.77180551614,32.1171495689763,18.2565850021602,569.9936,136.354472727273,62.9999,5,3,3,4,5,2,3,1.91576784347699,1.43682588260775,1.36121188945638,11,6,0,,,0.0679301933626087,0.37690599282475,1.37011299975448,5.54843103143901,0.275091173423135,0.0495799933106115,1.81494918594183,1,1,1,1,0.133333333333333,1.49413815851412,5,0.10081865753516
Mapungupwe National Park,15236.3016555185,3873.94497065013,178.955166390614,0.21111820923047,4400,433.2851,97.5,15,1,5,5,6,1,4,112.833390126358,84.6250425947689,84.6237076300603,25,22,99.3416929003754,0.968078201225273,yes,2.26475402956478,7.35836056772956,103.208495576119,3.24907714995594,0.0712960742878241,0.0219434845641603,112.831610173414,0.11955796121588,0.0926550649797308,0.954545454545455,0.863636363636364,0.129186602870813,1.55013350283606,19,0.00177995294482617
Augrabies Falls National Park,49353.7407102078,145.543588648317,28.7034127203468,7.43811684402816,899.9948,195.219428571429,112.0005,10,2,4,4,6,2,3,11.4886216773175,8.61646625798812,8.61631930134622,14,12,0,,,3.82275110224782,1.85688794164786,5.80878669123261,0.485746493031155,0.319668812154959,0.658098034141558,11.4884257351283,0.903174613574427,0.0799508200174276,0.916666666666667,0.416666666666667,0,2.55464480627832,12,0.000195942189200663
Meerkat National Park,134953.786719263,173.485973004638,33.2217429885006,0.583620076345136,400,101.2032625,43.25,8,0,3,3,3,0,3,0.095675023383075,0.11065847345259,0.11065847345259,8,8,0,,,0.0407807571302069,0.0105962198969248,0.0442980463559433,0.259833819737398,0.23920287165222,0.920599450425548,0.095675023383075,,,0,0,0,2.69512598653315,8,
Tankwa-Karoo National Park,143499.792179002,96.3760714731267,18.0888544201924,1.38739849413297,569.9936,126.091246153846,55,10,1,4,4,5,1,3,1.48018584748223,1.11013938561167,1.10999565822582,13,12,0,,,0.246761748308521,0.197067104213814,1.03616535844543,0.798612854563766,0.190188856062005,0.23814900420792,1.47999421096776,4.94399485709269e-05,4.94399485709269e-05,0.0833333333333333,0.0833333333333333,0.0757575757575758,2.59366228088654,11,0.000191636514467538
West Coast National Park,36566.2553936807,488.525804902926,51.6238660053039,1.37565397188925,569.9936,145.01831,100.25065,7,0,4,2,4,0,2,4.85605081757119,3.64203811317839,3.64203811317839,10,10,0,,,0.192185415879759,0.40668729515492,4.25717810653651,2.11611944274359,0.095529781695177,0.0451438514129056,4.85605081757119,,,0,0,0.0888888888888889,1.40459184775606,9,
Namaqua National Park,136387.299701636,98.0757282899825,16.9527559210516,0.492816601714732,569.9936,120.959707142857,54.99985,10,1,4,4,5,1,3,1.53341494741458,1.15006121056093,1.14764164363115,14,13,0,,,0.259963788985953,0.207344001691242,1.06288106749767,0.797588012161364,0.195077330880857,0.24458408088685,1.53018885817487,1,0.173709109341473,1,0.615384615384615,0.0705128205128205,2.49326422169513,12,0.00322608923970596
Garden Route National Park,125788.700275057,114.87053108369,27.7590656059162,0.000132364610453744,4400,514.105555555556,14.936,7,2,3,5,5,2,3,1.33990130338775,1.00492597754081,1.00488498641849,9,7,0.0349792945660357,,,2.22085926151663e-05,,1.33982443996537,,,1.65757482493306e-05,1.33984664855799,0.973893061117343,0.973893061117343,0.857142857142857,0.857142857142857,0.119047619047619,1.10448496865404,6,5.46548297658439e-05
