species,mass_kg
Potamochoerus larvatus,97.5
Sylvicapra grimmia,19.4998
Dama dama,56.25
Oryx gazella,169.0013
Aepyceros melampus,52.5001
Tragelaphus strepsiceros,213.501
Redunca fulvorufula,29.4999
Raphicerus campestris,10.5
Antidorcas marsupialis,31.5
Phacochoerus africanus,82.5
Capra aegagrus,33.5
Ovis orientalis,60
Tragelaphus scriptus,43.2504
Raphicerus melanotis,10.2499
Oreotragus oreotragus,12.9999
Redunca arundinum,58.0003
Tragelaphus oryx,569.9936
Giraffa camelopardalis,899.9948
Tragelaphus angasii,86.6004
Alcelaphus buselaphus,171.0015
Equus zebra,240
Bos primigenius,400
Damaliscus pygargus,102
Equus quagga,175
Pelea capreolus,20
Kobus leche,110.749
Hippotragus equinus,269.9977
Hippotragus niger,227.4993
Kobus ellipsiprymnus,210.0003
Connochaetes gnou,179.999
Connochaetes taurinus,179.999
Syncerus caffer,580.0027
Hippopotamus amphibius,1417.49
Ourebia ourebi,17.25
Diceros bicornis,1180.5109
Loxodonta africana,4400
Equus ferus,200
Ceratotherium simum,2949.9863
Damaliscus lunatus,136.0003
Equus africanus,275
Cephalophus natalensis,12
Sus scrofa,101.0521
Hystrix africaeaustralis,14.936
Papio ursinus,27.9391
Oryx dammah,200
