Binomial.1.2,order,family,genus,iucn_status,common_name,guild_with_omnivore,guild_only_herbivory,fermentation_simple,trophic_level_herbivore,source_herbi,herbivore_fg_own,herbi_body_mass_bins,mass_kg,mass_kg_carni,maximum_prey_size,largest_accessible_prey_size,prey_range_bins,group_hunting,hunting_style,carnivore_fg_own,source_carni,trophic_level_carni,trophic_level,species,browser,grazer,mixed_feeder,omnivore,feeding_type,fermentation_type,mr_mass_kg,hempson_herbivore_group,trophic_level_hempson
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,VU,,,,,medium herbivore,Phylacine,not_complete,5,46.7,46.7,971.7837,507.531930042116,3,cooperative hunter,Pursuit,large prey predatorcooperative hunterPursuit,CarniTRAITS,large prey predator,large prey predator,Acinonyx jubatus,,,,,Predator,Shortgut,35.025,,large prey predator
Addax_nasomaculatus,Cetartiodactyla,Bovidae,Addax,CR,Addax,Grazer,Grazer,Foregut,medium herbivore,HerbiTRAITS,s2GrazerForegut,6,70.0003,,,,,,,,,,medium herbivore,Addax nasomaculatus,0,1,0,0,Grazer,Foregut,52.500225,,
Aepyceros_melampus,Cetartiodactyla,Bovidae,Aepyceros,LC,Impala,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,6,52.5001,,,,,,,,,,medium herbivore,Aepyceros melampus,0,0,1,0,Mixed Feeder,Foregut,39.375075,Water-dependent grazers,Water-dependent grazers
Ailuropoda_melanoleuca,Carnivora,Ursidae,Ailuropoda,VU,Giant Panda,Browser,Browser,Simple,large herbivore,HerbiTRAITS,s3BrowserSimple,7,108.4,,,,,,,,,,large herbivore,Ailuropoda melanoleuca,1,0,0,0,Browser,Simple,81.3,,
Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,Alcelaphus,LC,Hartebeest,Grazer,Grazer,Foregut,large herbivore,HerbiTRAITS,s3GrazerForegut,8,171.0015,,,,,,,,,,large herbivore,Alcelaphus buselaphus,0,1,0,0,Grazer,Foregut,128.251125,,
Alces_alces,Cetartiodactyla,Cervidae,Alces,LC,Moose,Browser,Browser,Foregut,large herbivore,HerbiTRAITS,s3BrowserForegut,9,356.998,,,,,,,,,,large herbivore,Alces alces,1,0,0,0,Browser,Foregut,267.7485,,
Ammodorcas_clarkei,Cetartiodactyla,Bovidae,Ammodorcas,VU,Dibatag,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,4,28.0498,,,,,,,,,,small herbivore,Ammodorcas clarkei,1,0,0,0,Browser,Foregut,21.03735,Small nonsocial browsers,Small nonsocial browsers
Ammotragus_lervia,Cetartiodactyla,Bovidae,Ammotragus,VU,Aoudad,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,5,48,,,,,,,,,,medium herbivore,Ammotragus lervia,0,0,1,0,Mixed Feeder,Foregut,36,Medium-sized social mixed diets,Medium-sized social mixed diets
Antidorcas_marsupialis,Cetartiodactyla,Bovidae,Antidorcas,LC,Springbok,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,4,31.5,,,,,,,,,,small herbivore,Antidorcas marsupialis,1,0,0,0,Browser,Foregut,23.625,Medium-sized social mixed diets,Medium-sized social mixed diets
Antilocapra_americana,Cetartiodactyla,Antilocapridae,Antilocapra,LC,Pronghorn,Browser,Browser,Foregut,medium herbivore,HerbiTRAITS,s2BrowserForegut,5,46.0829,,,,,,,,,,medium herbivore,Antilocapra americana,1,0,0,0,Browser,Foregut,34.562175,,
