source,unique_id,spatial_predictor1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5,area_ha,max_species_body_mass,mean_species_body_mass,median_species_body_mass,CW_max_species_body_mass,CW_mean_species_body_mass,CW_median_species_body_mass,n_species_reserve,n_herbi_sp_reserve,elephant_biomass_ha,browser_biomass_ha,grazer_biomass_ha,mixed_feeder_biomass_ha,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,herbi_biomass_ha,herbi_fun_red,herbi_fun_div_distq1,herbi_fun_ent,predator_biomass_ha,establishment_year,Biome,n_reserves_biome,herbi_biomass_kgkm2,grazer_biomass_kgkm2,mixed_feeder_biomass_kgkm2,browser_biomass_kgkm2,elephant_biomass_kgkm2
SWEP,reserve_1,-0.0644197398782101,-0.0638647763831788,-0.0642131034001834,-0.0676550451684903,-0.0636911385276026,2927.17670480653,213.501,71.312675,54.37505,19.4416135581248,4.03123222558114,1.26524864984156,12,12,0,0.946987995445671,0.578799990864228,26.0823046229613,0.611200979999576,0.0221912901958321,0.0363076809789269,27.6080926092712,0.15,1.82770496434415,10,,1984,Albany Thicket,87,2760.80926092712,57.8799990864228,2608.23046229613,94.6987995445671,0
SWEP,reserve_2,-0.0516995256958948,-0.0522100094427894,-0.0520045381949157,-0.0524442671266079,-0.0572855256753402,383.656003035174,82.5,39.500025,36.37515,21.5387521906632,6.7901167666666,4.33677130610993,8,8,0,0.296164139492385,0.437891884059997,0.501426534390401,1.47854458277943,0.873292205392272,0.590643133499987,1.23548255794278,0.107142857142857,3.96633267957969,7,,,Fynbos,39,123.548255794278,43.7891884059997,50.1426534390401,29.6164139492385,0
SWEP,reserve_3,-0.0622336639531285,-0.0620098806419461,-0.0631151166152782,-0.0657105059779859,-0.0636591167534721,5836.57341727102,213.501,86.3183818181818,60,43.9927383449387,5.65902463728596,1.90551399810945,11,11,0,3.45550004396758,0.0661775278722695,27.2953850162462,0.0191513607380207,0.00242449512373175,0.12659649394617,30.817062588086,0.0818181818181818,1.7628806147528,10,,1990,Nama-Karoo,33,3081.7062588086,6.61775278722695,2729.53850162462,345.550004396758,0
SWEP,reserve_4,-0.0590709733685637,-0.0603450043815479,-0.0608286268237244,-0.064692209380314,-0.0639165416178752,7076.37056506715,569.9936,144.544945454545,60,204.33575366112,31.8188157736462,2.26415891779242,11,11,0,0.0767344212696481,0.0237409627513488,0.236560611772331,0.309391305212585,0.10035889987551,0.32437530785344,0.337035995793328,0.141414141414141,2.73515758306186,9,,2011,Azonal Vegetation,3,33.7035995793328,2.37409627513488,23.6560611772331,7.67344212696481,0
SWEP,reserve_5,-0.049676686987579,-0.0505280596911543,-0.0500683964365301,-0.0501897025416872,-0.0541627337130806,1935.85570665625,97.5,48.8333555555556,54.9997,59.7576078297555,7.50428132097483,0.0325842791904445,9,8,0,0.134630617924603,0.0639252189997932,62.0409748965484,0.474819324052966,0.00103037096219695,0.00217002743991525,62.2395307334728,0.107142857142857,1.02086934070375,7,0.042616580211187,2007,Fynbos,39,6223.95307334728,6.39252189997932,6204.09748965484,13.4630617924603,0
SANParks,reserve_6,-0.0687220516409075,-0.0671238496344867,-0.0675105721203656,-0.0652383118298643,-0.0626704146838767,137741.624773986,4400,362.298520833333,99.75,2759.07299654439,139.037746785884,0.887861622597558,24,21,20.7954567451928,4.8461093253059,3.8656430928101,24.4515635918075,0.797679712387853,0.158093901778343,0.198192205873067,33.1633160099235,0.119047619047619,2.63126716006587,18,0.0207758032816559,1931,Albany Thicket,87,3316.33160099235,386.56430928101,2445.15635918075,484.61093253059,2079.54567451928
HC,reserve_7,-0.0528874911698336,-0.0529962023946999,-0.0527621923260767,-0.0547657419161259,-0.0631551298162688,30000,580.0027,151.413504545455,106.3745,74.4675922667272,6.99679070440314,1.02538862492729,22,22,0,7.67470341333333,20.1975941666667,35.24394277,2.63171005821244,0.573079870730555,0.217759501637431,63.11624035,0.251748251748252,2.76871141047857,13,,1988,Nama-Karoo,33,6311.624035,2019.75941666667,3524.394277,767.470341333333,0
SANParks,reserve_8,-0.0187822723414389,-0.0196033677831362,-0.0191005012260481,-0.0181926400362971,-0.018037596004612,21032.3648239608,171.0015,62.929675,43.875,23.6128171552069,5.18604884530849,1.55251162340258,8,8,0,0.142125891454419,0.00813039814739183,0.0335553565139754,0.0572056088035114,0.24229807077167,4.23556493566759,0.183811646115787,0,2.02457113009492,8,,1998,Fynbos,39,18.3811646115787,0.813039814739183,3.35553565139754,14.2125891454419,0
HC,reserve_9,-0.0216878752546319,-0.0224494208295727,-0.0218968555672032,-0.0212393309280537,-0.0205130687955579,4500,4400,970.76385,391.7473,473.319731907195,146.948554564705,43.3075940334159,12,9,1.95555555555556,1.0744432,13.083287,6.27107084444445,12.1768065543158,2.08629232941779,0.171333290063507,20.4288010444445,0.0972222222222222,3.14473854258979,8,0.355975911111111,1999,Fynbos,39,2042.88010444445,1308.3287,627.107084444445,107.44432,195.555555555556
SANParks,reserve_10,-0.00791889839490542,-0.00817300474711413,-0.00779753997076435,-0.0070330026459102,-0.00628204044071141,49353.7407102078,899.9948,195.219428571429,112.0005,145.543588648317,28.7034127203468,7.43811684402816,14,12,0,3.82275110224782,1.85688794164786,5.80878669123261,0.485746493031155,0.319668812154959,0.658098034141558,11.4884257351283,0,2.55464480627832,12,0.000195942189200663,1966,Nama-Karoo,33,1148.84257351283,185.688794164786,580.878669123261,382.275110224782,0
