NAME,WDPA_PID,DESIG_ENG,GIS_AREA,MAP,MAT,fire_events_since_2001,n_deposition,prop_burned_area,woody_trend_venter2019,spatial_predictor1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5
Iona National Park,347,National Park,15174.4405573639,153.432072617247,22.8743408255892,1.23504273504274,145.563171386719,0.00367225875300137,0.099015203838115,-0.00223589062136184,-0.00209835070861867,-0.00238392816277148,0.00281171641066818,0.00128306854720883
Quiçãma National Park,348,National Park,9229.34584399135,596.385689497719,24.8787762557077,2.65860798942299,274.310241699219,0.56170596504257,0.529448199981768,-0.00154922139451189,-0.00158603967882845,-0.00194470275262172,0.00260899168545228,0.000551643808988679
Cameia National Park,349,National Park,14510.1191857464,1277.19616893607,22.5022674821148,12.8893941538679,235.238693237305,0.947031519680949,0.378430377708578,-0.00078072428059689,-0.00113080582535008,-0.0016893472735226,0.00240157071239611,-0.00108823968070255
Bicuar National Park,350,National Park,6751.98640050913,687.610914201908,21.5876069420682,6.72462683075195,305.464813232422,0.75931781844022,1.1613651663446,-0.00190207238490336,-0.00189427544164122,-0.00224378791054219,0.0027289992770439,0.000821162143223211
Cangandala National Park,351,National Park,637.915439787998,1084.22242744063,22.064907651715,10.1577708006279,350.081466674805,0.979623221837755,1.30141836470661,-0.00135145244521329,-0.00146238715652913,-0.00184569197283713,0.00264397654504867,0.00031620939763588
Boucle de la Pendjari,597,National Park,2844.63050267774,896.711252969121,29.1094121140139,15.5681896850121,615.383422851563,0.995863495346432,-0.257920579570235,-0.00217110560473902,-0.00212010322163153,-0.00308063280551296,0.00525783649204847,-0.00133409818368976
Chobe,600,National Park,10561.8634672847,521.291957581857,23.1547372087628,4.11532004197272,259.790313720703,0.642341998247546,0.706649471040676,0.00133778391689341,0.000100273429417444,-0.000893047180577838,-0.000894279948271459,-0.0171929348208084
Nxai Pan,601,National Park,2602.74097155422,435.009305210917,23.2786290322573,3.22145377558222,243.177726745606,0.639267346386358,0.411552286172045,0.00230873534865693,0.00073361301488966,7.55806887160829e-05,-0.00665590946325452,-0.0184155457354677
Bouba Ndjida,606,National Park,2129.12012180738,1222.60400320256,26.991353082466,11.1865967365967,489.29052734375,0.996631432222093,0.70778251983249,-0.0015366040065622,-0.00167382994542374,-0.00238501083652713,0.00427487758089033,0.000202487081651936
Bénoué,607,National Park,1993.12433603803,1226.64698072805,27.2697858672377,9.61671138367191,603.951863606771,0.971212309219506,1.01134833858356,-0.00159250803145483,-0.00172657779423663,-0.00244828549243838,0.00444850769038692,0.00021390315849934
Waza,608,National Park,1415.82209613713,691.408387864367,28.6529149315884,8.70131271354073,331.769653320313,0.962943722943723,0.107200036092236,-0.0014725081493849,-0.00152908937178055,-0.00211934337175015,0.00354244668190345,0.000154430258383298
Kalamaloué,609,National Park,67.3583350168619,499.266666666667,28.8512345679012,1.16666666666667,232.2080078125,0.0216606498194946,0.329826032303693,-0.00137043345686614,-0.00143726653500765,-0.0020460464603161,0.0035052900305666,0.000136107243438321
Mozogo Gokoro,610,National Park,17.3567084909784,900.827272727273,26.8318181818182,1,439.156951904297,0.0579710144927536,0.523452891242499,-0.0015011688217793,-0.00160518206138602,-0.00222498621137801,0.00353870950968138,0.000148447322330769
Bamingui-Bangoran,639,National Park,11263.5949777,1209.45421331316,27.2616641452353,14.9692290748899,923.420166015625,0.996991457496102,0.711647790452274,-0.00130373594365576,-0.0014081474080274,-0.00189221619165518,0.00342137128033993,0.000222506751601223
